record_id,source_file,source_stem,run_timestamp,Name,dp_index,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
96,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 5,5,0.85,1,1000,9.866879223893614e-07,8.502289077828646e-08,1054.85,0.0071007119999999,0.018236867446,0.00049082,2.20471628e-05,0.0004792799999999,0.0263297266087999,0.155856691,0.1821864176087999,0.20111664,1084.6356,-0.018261889,-2.5021554e-05,0.015898609,-2.9743912e-06,0.85001154,-0.025362601,0.85049082,-0.1717553,1834.9422,2.5851907,1083.0075,0.94767032,1085.3857,1076.7732,1559.70087,0.20111664,0.94767032,0.052329675,0.16714262,0.92951979,0.070480211,0.8095238095238094,8.0165609,135.82667
97,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 6,6,0.8,1,1000,9.866879223893614e-07,8.502289077828646e-08,1039.85,0.010594059,0.029195875144,0.0008047299999999,3.4963884300000004e-05,0.00078643,0.0414160580282999,0.180110028,0.2215260860282999,0.19581889,1093.0296,-0.029235556,-3.9680856e-05,0.025701102,-4.7169717e-06,0.8000183,-0.039829615,0.80080473,-0.20581113,2909.9566,2.7500382,1090.1382,0.93458714,1094.3684,1079.0335,2327.96528,0.19581889,0.93458714,0.065412858,0.14430204,0.90614224,0.093857756,0.7619047619047618,8.0230686,138.48262
98,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 7,7,0.75,1,1000,9.866879223893614e-07,8.502289077828646e-08,1018.05,0.0141454499999999,0.041977407072,0.00120253,4.97872032e-05,0.00117648,0.0585516542752,0.200587198,0.2591388522752,0.1896521,1102.3736,-0.042033911,-5.6503928e-05,0.037303852,-6.7167248e-06,0.75002605,-0.056179361,0.75120253,-0.23789105,4143.6325,2.9374112,1097.824,0.91957241,1104.5054,1080.272,3107.724375,0.1896521,0.91957241,0.080427583,0.12306909,0.87963807,0.12036192,0.7142857142857143,8.0268593,141.41072
99,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 8,8,0.7,10,100,9.866879223893616e-07,8.502289077828646e-09,989.95,0.0093909569999999,0.07182545019,0.00134432,5.49998777e-05,0.00131554,0.0839312670677,0.195542636,0.2794739030677,0.18746091,1166.8198,-0.07188787,-6.241981e-05,0.068675254,-7.4199323e-06,0.70002878,-0.081278827,0.70134432,-0.26421789,4577.4769,4.9061121,1162.2894,0.41300197,1169.4841,1145.451,3204.23383,0.18746091,0.41300197,0.58699803,0.12314122,0.38035319,0.61964681,0.6666666666666666,8.4660334,17.837237
100,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 9,9,0.65,1,1000,9.866879223893614e-07,8.502289077828646e-08,956.45,0.0202016669999999,0.069528655212,0.0022065799999999,8.154762400000001e-05,0.0021639099999999,0.0941823598359999,0.238440146,0.3326225058359999,0.17611648,1123.679,-0.069621204,-9.2548788e-05,0.062840654,-1.1001164e-05,0.65004267,-0.089822871,0.65220658,-0.3012808,6786.7529,3.3900838,1114.8116,0.88740188,1127.965,1080.2711,4411.389385,0.17611648,0.88740188,0.11259811,0.099866973,0.82383097,0.17616903,0.619047619047619,8.0311968,147.54662
101,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 10,10,0.6,1,1000,9.866879223893614e-07,8.502289077828646e-08,919.75,0.022040327,0.08468298513,0.0027908899999999,9.8834643e-05,0.0027391799999999,0.1123522167729999,0.255723336,0.3680755527729999,0.16855714,1139.8302,-0.084795153,-0.00011216787,0.077376014,-1.3333227e-05,0.60005171,-0.10683548,0.60279089,-0.33309935,8225.4427,3.7864135,1128.2829,0.86989062,1145.471,1083.0281,4935.265619999999,0.16855714,0.86989062,0.13010938,0.091277279,0.79427734,0.20572266,0.5714285714285714,8.0625106,151.35312
102,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 11,11,0.55,1,1000,9.866879223893614e-07,8.502289077828646e-08,878.55,0.0230675499999999,0.10062803419,0.0034196599999999,0.000116904811,0.0033584899999999,0.1305906390009999,0.272185253,0.4027758920009999,0.16050546,1159.0408,-0.10076071,-0.00013267581,0.092969417,-1.5770999e-05,0.55006117,-0.12382826,0.55341966,-0.36515467,9729.346,4.3105981,1144.5052,0.85158558,1166.1953,1087.1186,5351.1403,0.16050546,0.85158558,0.14841442,0.08337564,0.7641463,0.2358537,0.5238095238095237,8.1071912,155.5745
103,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 12,12,0.5,1,1000,9.866879223893614e-07,8.502289077828646e-08,831.65,0.02352413,0.11713336312,0.0040860999999999,0.000135594494,0.00401516,0.148894347614,0.28805047,0.436944817614,0.15201194,1180.0997,-0.11728725,-0.00015388688,0.10931332,-1.8292386e-05,0.50007094,-0.14081138,0.5040861,-0.39736379,11284.821,4.9488377,1162.2978,0.83265289,1188.9047,1091.4133,5642.4105,0.15201194,0.83265289,0.16734711,0.07589928,0.73381818,0.26618182,0.4761904761904761,8.159198,160.04825
104,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 13,13,0.4,1,1000,9.866879223893614e-07,8.502289077828646e-08,730.95,0.0219833499999999,0.15174399843,0.0054779099999999,0.000173557595,0.0053870999999999,0.1847659160249999,0.31893799,0.5037039060249999,0.13421933,1233.4039,-0.15194097,-0.00019697157,0.14441385,-2.3413975e-05,0.40009081,-0.17392432,0.40547791,-0.46335184,14444.408,6.9392917,1208.6298,0.79419743,1245.7316,1107.7399,5777.7632,0.13421933,0.79419743,0.20580257,0.062066543,0.67576112,0.32423888,0.380952380952381,8.3229547,170.53951
105,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 14,14,0.3,1,1000,9.866879223893614e-07,8.502289077828646e-08,620.3499999999999,0.01896538,0.18746042381,0.0068688199999999,0.000210454447,0.00675871,0.220263788257,0.3490650399999999,0.5693288282569999,0.11619584,1295.9877,-0.18769927,-0.00023884619,0.1811182,-2.8391743e-05,0.30011011,-0.20666465,0.30686882,-0.53018324,17515.253,10.016616,1264.0375,0.75682486,1311.9136,1130.3621,5254.5759,0.11619584,0.75682486,0.24317514,0.049613781,0.62401054,0.37598946,0.2857142857142857,8.5355137,182.27169
106,Расчет 10 1000.csv,Расчет 10 1000,04/09/2026 09:33:27,DP 0,0,1.05,10,1000,9.866879223893613e-06,8.502289077828646e-08,1073.15,1.426539000000001e-12,-6.1462806655e-11,0.0,2.5074212600000003e-14,0.0,-6.00111934424e-11,2.797990999999999e-11,-3.2031283442400014e-11,0.21,1072.9649,6.1433728e-11,-2.9078655e-14,1e-10,-4.0044424e-15,1.05,6.0007189e-11,1.05,-1.2797991e-10,-7.8718603e-06,2.3682641,1073.0393,0.97,1073.0641,1073.0297,-8.265453315e-06,0.21,0.97,0.03,0.21,0.97,0.03,1.0,124.444,131.44802
107,Расчет 10 1000.csv,Расчет 10 1000,04/09/2026 09:33:27,DP 1,1,1.03,10,1000,9.866879223893613e-06,8.502289077828646e-08,1072.85,0.0002398356899999,0.00055571841123,1.4399999999969992e-05,6.82176899e-07,1.399999999995849e-05,0.0008246362781289,0.01863097703,0.0194556133081289,0.20997282,1072.7512,-0.00055649262,-7.7420877e-07,0.00047697097,-9.2031871e-08,1.0300004,-0.00079632831,1.0300144,-0.019107948,56.779098,2.3674399,1072.8914,0.96930909,1072.9037,1072.8679,58.48247094,0.20997282,0.96930909,0.03069091,0.20887659,0.96873714,0.031262856,0.9809523809523808,124.4034,131.53072
108,Расчет 10 1000.csv,Расчет 10 1000,04/09/2026 09:33:27,DP 2,2,1.0,10,1000,9.866879223893613e-06,8.502289077828646e-08,1072.05,0.0007247099,0.0016792609758,4.3699999999979866e-05,2.06141737e-06,4.260000000000375e-05,0.0024923322931699,0.045863058,0.0483553902931699,0.20991785,1072.1567,-0.0016816005,-2.3395242e-06,0.001441318,-2.7810683e-07,1.0000011,-0.0024063104,1.0000437,-0.047304376,171.57039,2.3674399,1072.4542,0.96791227,1072.5183,1072.323,171.57039,0.20991785,0.96791227,0.03208773,0.2066131,0.96618406,0.033815939,0.9523809523809524,124.34653,131.68009
